method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
Schema-Constraint,A3_feature_calc_error,small,17,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,27,0,0,0,0.037037037037037035,1.0,0.0,0
APA-RCA,A3_feature_calc_error,small,18,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.44989585876464844,9
Schema-Constraint,A3_feature_calc_error,small,18,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,27,0,0,0,0.037037037037037035,1.0,0.0,0
APA-RCA,A3_feature_calc_error,small,19,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.44918060302734375,9
Schema-Constraint,A3_feature_calc_error,small,19,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,26,0,0,0,0.038461538461538464,1.0,0.0,0
APA-RCA,A3_feature_calc_error,small,20,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,9,0,0,0,0.1111111111111111,1.0,0.4527568817138672,9
Schema-Constraint,A3_feature_calc_error,small,20,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,27,0,0,0,0.037037037037037035,1.0,0.0,0
APA-RCA,A3_feature_calc_error,small,21,FEAT_VOL20_STOCK_1_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.44798851013183594,9
Schema-Constraint,A3_feature_calc_error,small,21,FEAT_VOL20_STOCK_1_PRICE,REPORT_LIMIT,25,0,0,0,0.04,1.0,0.0,0
APA-RCA,A3_feature_calc_error,small,22,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.45490264892578125,9
Schema-Constraint,A3_feature_calc_error,small,22,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,27,0,0,0,0.037037037037037035,1.0,0.0,0
APA-RCA,A3_feature_calc_error,small,23,FEAT_VOL20_STOCK_1_PRICE,REPORT_LIMIT,8,0,0,0,0.125,1.0,0.45013427734375,9
Schema-Constraint,A3_feature_calc_error,small,23,FEAT_VOL20_STOCK_1_PRICE,REPORT_LIMIT,25,0,0,0,0.04,1.0,0.0,0
APA-RCA,A3_feature_calc_error,small,24,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,11,0,0,0,0.09090909090909091,1.0,0.4620552062988281,9
